-THEREDDKING-,Duct-Ties & Zip-Tape Qualifier,11/05/16,Georgia
Q-17|7030,8411|8373,5925|41,10,31,0,0|115,35,30,0,50
Q-18|11259,3638|7209,4962|38,5,33,0,0|100,60,20,20,0
Q-19|5404,12175|7783,4587|11,10,1,0,0|80,0,30,0,50
Q-20|10165,11108|10391,11869|55,0,45,10,0|80,60,0,20,0
Q-21|7572,9879|11684,7343|85,20,5,20,40|4,0,4,0,0
Q-22|10922,10436|8651,3486|10,5,5,0,0|170,40,90,40,0
Q-23|3664,3638|11869,8373|84,10,34,40,0|135,80,55,0,0
Q-24|11259,10165|11684,5925|65,35,30,0,0|10,0,10,0,0
Q-25|5404,92|10391,7572|130,0,60,20,50|60,15,5,40,0
Q-26|4962,10922|7783,7343|65,20,45,0,0|17,5,12,0,0
Q-27|10436,6832|9879,9792|65,25,40,0,0|10,0,10,0,0
Q-28|8411,7209|11126,12175|27,0,27,0,0|40,10,30,0,0
Q-29|8651,7030|11108,4587|70,35,35,0,0|55,0,55,0,0
Q-30|11869,7572|5925,3486|60,5,15,40,0|140,40,60,40,0
Q-31|10922,9792|8411,10165|40,10,30,0,0|75,15,10,0,50
Q-32|9879,4587|11259,92|50,0,50,0,0|45,5,20,20,0
Q-33|7030,10436|7209,10391|20,5,15,0,0|75,0,35,0,40
Q-34|8651,7343|12175,3638|55,40,15,0,0|40,0,40,0,0
Q-35|7783,6832|11684,11108|80,10,30,0,40|36,5,31,0,0
Q-36|4962,8373|11126,5404|180,115,65,0,0|145,40,45,20,40
Q-37|3664,3486|9792,7030|50,10,20,20,0|10,10,0,0,0
SF-1-1|8373,4587|10165,92|105,45,20,40,0|135,70,45,20,0
SF-2-1|4962,7572|8651,3486|80,35,5,40,0|170,55,75,0,40
SF-1-2|8373,4587|10165,92|100,0,60,40,0|103,90,13,0,0
SF-2-2|4962,7572|8651,3486|120,70,40,10,0|100,10,80,10,0
SF-2-3|4962,7572|8651,3486|125,65,60,0,0|100,50,10,40,0
F-1|10165,92|4962,7572|35,30,5,0,0|135,55,80,0,0
F-2|10165,92|4962,7572|40,40,0,0,0|165,85,70,10,0
-THEREDDKING-,Alameda FTC QT,12/03/16,California
Q-1|9657,8804|11475,5214|10,10,0,0,0|25,0,25,0,0
Q-2|9914,524|9621,6982|40,0,40,0,0|30,30,0,0,0
Q-3|3873,6148|8872,6982|65,0,45,20,0|220,65,15,40,100
Q-4|8804,9621|9657,3873|25,5,20,0,0|75,25,50,0,0
Q-5|5214,524|11475,6148|20,0,20,0,0|60,40,20,0,0
Q-6|9914,8804|8872,5214|30,10,20,0,0|90,35,55,0,0
Q-7|9621,3873|9914,11475|20,15,5,0,0|55,15,40,0,0
Q-8|8872,6148|9657,524|135,45,70,20,0|10,10,0,0,0
Q-9|11475,9657|6982,9914|25,5,20,0,0|90,40,40,10,0
Q-10|6982,5214|9621,8872|20,20,0,0,0|115,75,40,0,0
Q-11|3873,8804|524,6148|80,15,65,0,0|35,0,25,10,0
Q-12|9914,9621|6148,8804|80,45,35,0,0|75,25,30,20,0
Q-13|5214,9657|524,3873|50,10,40,0,0|35,30,5,0,0
Q-14|11475,6982|8872,8804|155,85,30,40,0|45,30,15,0,0
SF-1-1|9914,6148|5214,8804|120,55,65,0,0|20,5,15,0,0
